ExpenseID,Date,Category,Description,Amount,ApprovedBy,PaymentMethod
5001,2026-03-29,Consulting,Purchase for consulting requirements,3492.89,R. Gonzalez,Cash
5002,2026-02-17,Travel,Purchase for travel requirements,1688.68,G. White,Petty Cash
5003,2026-02-23,Hardware,Purchase for hardware requirements,2286.48,J. White,Bank Transfer
5004,2026-07-10,Consulting,Purchase for consulting requirements,570.48,W. Taylor,PayPal
5005,2026-03-11,Office Supplies,Purchase for office supplies requirements,911.62,Y. Taylor,Petty Cash
5006,2026-07-07,Travel,Purchase for travel requirements,1291.0,E. Jackson,Bank Transfer
5007,2026-06-25,Utilities,Purchase for utilities requirements,1230.64,M. Davis,Petty Cash
5008,2026-06-29,Equipment,Purchase for equipment requirements,339.03,J. Smith,Petty Cash
5009,2026-06-04,Equipment,Purchase for equipment requirements,1596.92,H. Hernandez,Petty Cash
5010,2026-07-01,Hardware,Purchase for hardware requirements,419.0,D. Davis,Bank Transfer
5011,2026-05-26,Utilities,Purchase for utilities requirements,4947.92,B. Hernandez,Bank Transfer
5012,2026-06-10,Utilities,Purchase for utilities requirements,2268.59,V. Lopez,Petty Cash
5013,2026-07-09,Consulting,Purchase for consulting requirements,3313.03,N. Thomas,Bank Transfer
5014,2026-07-02,Travel,Purchase for travel requirements,1360.25,J. Thomas,Credit Card
5015,2026-03-04,Hardware,Purchase for hardware requirements,2108.02,T. Miller,Petty Cash
5016,2026-04-19,Software,Purchase for software requirements,2312.28,S. Jackson,Credit Card
5017,2026-03-12,Equipment,Purchase for equipment requirements,2611.83,L. Lee,Cash
5018,2026-05-05,Marketing,Purchase for marketing requirements,194.79,V. Garcia,Petty Cash
5019,2026-01-25,Utilities,Purchase for utilities requirements,2456.75,G. Clark,Cash
5020,2026-03-10,Consulting,Purchase for consulting requirements,417.88,N. Robinson,Bank Transfer
5021,2026-01-22,Equipment,Purchase for equipment requirements,3325.0,S. Johnson,Bank Transfer
5022,2026-06-10,Software,Purchase for software requirements,2839.18,A. Harris,PayPal
5023,2026-05-23,Utilities,Purchase for utilities requirements,1380.91,Z. Lopez,Credit Card
5024,2026-06-29,Consulting,Purchase for consulting requirements,4528.08,S. Johnson,Petty Cash
5025,2026-03-08,Marketing,Purchase for marketing requirements,3617.91,P. Harris,Credit Card
5026,2026-06-24,Marketing,Purchase for marketing requirements,1471.99,W. Jackson,Credit Card
5027,2026-04-29,Utilities,Purchase for utilities requirements,2337.17,G. Jackson,Cash
5028,2026-01-26,Hardware,Purchase for hardware requirements,4309.94,G. Thompson,Petty Cash
5029,2026-03-29,Hardware,Purchase for hardware requirements,3895.59,A. Thompson,Cash
5030,2026-07-04,Travel,Purchase for travel requirements,4838.41,K. Lee,Credit Card
5031,2026-02-06,Travel,Purchase for travel requirements,4113.06,I. Jones,Credit Card
5032,2026-07-12,Software,Purchase for software requirements,1277.59,X. Hernandez,Cash
5033,2026-04-11,Utilities,Purchase for utilities requirements,3214.77,P. Taylor,Bank Transfer
5034,2026-06-28,Consulting,Purchase for consulting requirements,4444.47,H. Lee,Petty Cash
5035,2026-03-16,Consulting,Purchase for consulting requirements,3036.18,I. Lewis,Cash
5036,2026-04-10,Software,Purchase for software requirements,3043.43,Y. Moore,Cash
5037,2026-05-08,Software,Purchase for software requirements,4272.71,X. Jones,Bank Transfer
5038,2026-05-19,Travel,Purchase for travel requirements,51.78,P. Hernandez,PayPal
5039,2026-06-02,Software,Purchase for software requirements,2502.58,S. Rodriguez,Credit Card
5040,2026-04-17,Marketing,Purchase for marketing requirements,4653.84,Q. Jackson,Petty Cash
5041,2026-05-07,Consulting,Purchase for consulting requirements,587.46,E. Martin,Bank Transfer
5042,2026-04-30,Software,Purchase for software requirements,3187.31,Z. Martinez,Bank Transfer
5043,2026-05-21,Hardware,Purchase for hardware requirements,1092.19,Q. Miller,Cash
5044,2026-06-10,Utilities,Purchase for utilities requirements,1316.85,R. Anderson,Cash
