SKU	ItemName	StockCount	ReorderLevel	UnitCost	RetailPrice	Supplier
SKU001	Filing Cabinet Model-Y	160	20	377.62	586.74	Taylor Logistics Inc.
SKU002	LED Lamp Model-Y	1	48	798.99	1043.49	Williams Logistics Inc.
SKU003	Filing Cabinet Model-A	53	28	548.18	928.62	Martinez Logistics Inc.
SKU004	Router Model-B	224	13	148.26	203.67	Robinson Logistics Inc.
SKU005	Monitor Model-X	103	25	92.91	139.94	Hernandez Logistics Inc.
SKU006	Monitor Model-C	135	13	319.3	403.15	Moore Logistics Inc.
SKU007	Router Model-C	36	48	210.58	302.39	Robinson Logistics Inc.
SKU008	Headphones Model-B	105	43	795.77	1044.74	Lewis Logistics Inc.
SKU009	External SSD Model-Y	16	19	486.18	835.31	Jones Logistics Inc.
SKU010	Headphones Model-B	117	16	716.5	1034.72	Williams Logistics Inc.
SKU011	Mouse Model-X	166	20	600.17	924.87	Brown Logistics Inc.
SKU012	Desk Chair Model-Y	26	11	339.35	559.47	Lopez Logistics Inc.
SKU013	LED Lamp Model-B	205	41	124.3	164.18	Williams Logistics Inc.
SKU014	USB-C Dock Model-B	88	14	788.83	1345.28	Thompson Logistics Inc.
SKU015	Microphone Model-C	71	14	195.39	320.56	Davis Logistics Inc.
SKU016	External SSD Model-Y	183	42	371.32	451.67	Johnson Logistics Inc.
SKU017	LED Lamp Model-B	72	43	67.21	101.12	Thompson Logistics Inc.
SKU018	Laptop Model-A	21	45	198.5	329.22	Gonzalez Logistics Inc.
SKU019	LED Lamp Model-B	243	31	226.39	354.03	Taylor Logistics Inc.
SKU020	Mouse Model-Y	191	12	710.95	957.91	Lewis Logistics Inc.
SKU021	Headphones Model-B	206	41	342.1	496.59	Robinson Logistics Inc.
SKU022	Standing Desk Model-X	113	47	203.7	358.77	Rodriguez Logistics Inc.
SKU023	Desk Chair Model-A	193	13	541.54	870.57	Anderson Logistics Inc.
SKU024	External SSD Model-Y	46	26	526.01	814.64	Gonzalez Logistics Inc.
SKU025	External SSD Model-A	194	38	194.44	272.53	Harris Logistics Inc.
SKU026	Filing Cabinet Model-A	66	10	862.02	1461.43	Lopez Logistics Inc.
SKU027	Microphone Model-B	130	13	297.95	364.12	Garcia Logistics Inc.
SKU028	Headphones Model-X	49	42	410.34	670.4	Brown Logistics Inc.
SKU029	LED Lamp Model-A	26	39	322.21	499.11	Anderson Logistics Inc.
